Name,ID,scoring_function
royal-leaf-301,1jjghdaz,submodular_sampling
youthful-bird-297,3ee0l4xq,submodular_sampling
pretty-wood-296,pm885i52,random
ancient-violet-295,1w9c49hx,loss_cluster_batches
pretty-valley-294,39zouk2o,loss_cluster_batches
fluent-sound-293,2aff7vrb,loss_cluster_batches
exalted-dew-292,27xhauiq,random
fanciful-violet-291,3fh5kf2p,random
cerulean-bird-289,2m0u8zqe,submodular_sampling
iconic-meadow-288,3dvr9q44,random
fearless-disco-290,wy71bmvd,pred_cluster
scarlet-dust-287,15eniu13,loss_cluster
astral-pine-283,1zua075d,pred_cluster
fresh-violet-286,22tmxr2r,loss_cluster
tough-pine-285,29u6lmqs,last_loss
pretty-morning-284,2ngma9lg,last_loss
dutiful-capybara-281,2bvtct9m,submodular_sampling
warm-sun-282,2sd66m4n,submodular_sampling
glad-serenity-280,35wh4egu,pred_cluster
solar-snowball-279,3grrvtlz,last_loss
magic-shadow-278,3n4buhat,loss_cluster
